awardYear,simple_category,motivation
1999,Physiology or Medicine,for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell
2000,Chemistry,for the discovery and development of conductive polymers
2000,Chemistry,for the discovery and development of conductive polymers
2000,Chemistry,for the discovery and development of conductive polymers
2000,Economic Sciences,for his development of theory and methods for analyzing selective samples
2000,Economic Sciences,for his development of theory and methods for analyzing discrete choice
2000,Literature,"for an œuvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama"
2000,Peace,"for his work for democracy and human rights in South Korea and in East Asia in general, and for peace and reconciliation with North Korea in particular"
2000,Physics,for developing semiconductor heterostructures used in high-speed- and opto-electronics
2000,Physics,for developing semiconductor heterostructures used in high-speed- and opto-electronics
2000,Physics,for his part in the invention of the integrated circuit
2000,Physiology or Medicine,for their discoveries concerning signal transduction in the nervous system
2000,Physiology or Medicine,for their discoveries concerning signal transduction in the nervous system
2000,Physiology or Medicine,for their discoveries concerning signal transduction in the nervous system
2001,Chemistry,for their work on chirally catalysed hydrogenation reactions
2001,Chemistry,for their work on chirally catalysed hydrogenation reactions
2001,Chemistry,for his work on chirally catalysed oxidation reactions
2001,Economic Sciences,for their analyses of markets with asymmetric information
2001,Economic Sciences,for their analyses of markets with asymmetric information
2001,Economic Sciences,for their analyses of markets with asymmetric information
2001,Literature,for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories
2001,Peace,for their work for a better organized and more peaceful world
2001,Peace,for their work for a better organized and more peaceful world
2001,Physics,"for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates"
2001,Physics,"for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates"
2001,Physics,"for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates"
2001,Physiology or Medicine,for their discoveries of key regulators of the cell cycle
2001,Physiology or Medicine,for their discoveries of key regulators of the cell cycle
2001,Physiology or Medicine,for their discoveries of key regulators of the cell cycle
2002,Chemistry,for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules
2002,Chemistry,for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules
2002,Chemistry,for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution
2002,Economic Sciences,"for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty"
2002,Economic Sciences,"for having established laboratory experiments as a tool in empirical economic analysis, especially in the study of alternative market mechanisms"
2002,Literature,for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history
2002,Peace,"for his decades of untiring effort to find peaceful solutions to international conflicts, to advance democracy and human rights, and to promote economic and social development"
2002,Physics,"for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos"
2002,Physics,"for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos"
2002,Physics,"for pioneering contributions to astrophysics, which have led to the discovery of cosmic X-ray sources"
2002,Physiology or Medicine,for their discoveries concerning genetic regulation of organ development and programmed cell death'
2002,Physiology or Medicine,for their discoveries concerning genetic regulation of organ development and programmed cell death'
2002,Physiology or Medicine,for their discoveries concerning genetic regulation of organ development and programmed cell death'
2003,Chemistry,for the discovery of water channels
2003,Chemistry,for structural and mechanistic studies of ion channels
2003,Economic Sciences,for methods of analyzing economic time series with time-varying volatility (ARCH)
2003,Economic Sciences,for methods of analyzing economic time series with common trends (cointegration)
2003,Literature,who in innumerable guises portrays the surprising involvement of the outsider
2003,Peace,for her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children
2003,Physics,for pioneering contributions to the theory of superconductors and superfluids
2003,Physics,for pioneering contributions to the theory of superconductors and superfluids
2003,Physics,for pioneering contributions to the theory of superconductors and superfluids
2003,Physiology or Medicine,for their discoveries concerning magnetic resonance imaging
2003,Physiology or Medicine,for their discoveries concerning magnetic resonance imaging
2004,Chemistry,for the discovery of ubiquitin-mediated protein degradation
2004,Chemistry,for the discovery of ubiquitin-mediated protein degradation
2004,Chemistry,for the discovery of ubiquitin-mediated protein degradation
2004,Economic Sciences,for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles
2004,Economic Sciences,for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles
2004,Literature,for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clich&eacute;s and their subjugating power
2004,Peace,"for her contribution to sustainable development, democracy and peace"
2004,Physics,for the discovery of asymptotic freedom in the theory of the strong interaction
2004,Physics,for the discovery of asymptotic freedom in the theory of the strong interaction
2004,Physics,for the discovery of asymptotic freedom in the theory of the strong interaction
2004,Physiology or Medicine,for their discoveries of odorant receptors and the organization of the olfactory system
2004,Physiology or Medicine,for their discoveries of odorant receptors and the organization of the olfactory system
2005,Chemistry,for the development of the metathesis method in organic synthesis
2005,Chemistry,for the development of the metathesis method in organic synthesis
2005,Chemistry,for the development of the metathesis method in organic synthesis
2005,Economic Sciences,for having enhanced our understanding of conflict and cooperation through game-theory analysis
2005,Economic Sciences,for having enhanced our understanding of conflict and cooperation through game-theory analysis
2005,Literature,who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms
2005,Peace,for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way
2005,Peace,for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way
2005,Physics,for his contribution to the quantum theory of optical coherence
2005,Physics,"for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique"
2005,Physics,"for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique"
2005,Physiology or Medicine,for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease
2005,Physiology or Medicine,for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease
2006,Chemistry,for his studies of the molecular basis of eukaryotic transcription
2006,Economic Sciences,for his analysis of intertemporal tradeoffs in macroeconomic policy
2006,Literature,who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures
2006,Peace,for their efforts to create economic and social development from below
2006,Peace,for their efforts to create economic and social development from below
2006,Physics,for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation
2006,Physics,for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation
2006,Physiology or Medicine,for their discovery of RNA interference - gene silencing by double-stranded RNA
2006,Physiology or Medicine,for their discovery of RNA interference - gene silencing by double-stranded RNA
2007,Chemistry,for his studies of chemical processes on solid surfaces
2007,Economic Sciences,for having laid the foundations of mechanism design theory
2007,Economic Sciences,for having laid the foundations of mechanism design theory
2007,Economic Sciences,for having laid the foundations of mechanism design theory
2007,Literature,"that epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny"
2007,Peace,"for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change"
2007,Peace,"for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change"
2007,Physics,for the discovery of Giant Magnetoresistance
2007,Physics,for the discovery of Giant Magnetoresistance
2007,Physiology or Medicine,for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells
2007,Physiology or Medicine,for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells
2007,Physiology or Medicine,for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells
2008,Chemistry,"for the discovery and development of the green fluorescent protein, GFP"
2008,Chemistry,"for the discovery and development of the green fluorescent protein, GFP"
2008,Chemistry,"for the discovery and development of the green fluorescent protein, GFP"
2008,Economic Sciences,for his analysis of trade patterns and location of economic activity
2008,Literature,"author of new departures, poetic adventure and sensual ecstasy, explorer of a humanity beyond and below the reigning civilization"
2008,Peace,"for his important efforts, on several continents and over more than three decades, to resolve international conflicts"
2008,Physics,for the discovery of the mechanism of spontaneous broken symmetry in subatomic physics
2008,Physics,for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature
2008,Physics,for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature
2008,Physiology or Medicine,for his discovery of human papilloma viruses causing cervical cancer
2008,Physiology or Medicine,for their discovery of human immunodeficiency virus
2008,Physiology or Medicine,for their discovery of human immunodeficiency virus
2009,Chemistry,for studies of the structure and function of the ribosome
2009,Chemistry,for studies of the structure and function of the ribosome
2009,Chemistry,for studies of the structure and function of the ribosome
2009,Economic Sciences,"for her analysis of economic governance, especially the commons"
2009,Economic Sciences,"for his analysis of economic governance, especially the boundaries of the firm"
2009,Literature,"who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed"
2009,Peace,for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples
2009,Physics,for groundbreaking achievements concerning the transmission of light in fibers for optical communication
2009,Physics,for the invention of an imaging semiconductor circuit - the CCD sensor
2009,Physics,for the invention of an imaging semiconductor circuit - the CCD sensor
2009,Physiology or Medicine,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase
2009,Physiology or Medicine,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase
2009,Physiology or Medicine,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase
2010,Chemistry,for palladium-catalyzed cross couplings in organic synthesis
2010,Chemistry,for palladium-catalyzed cross couplings in organic synthesis
2010,Chemistry,for palladium-catalyzed cross couplings in organic synthesis
2010,Economic Sciences,for their analysis of markets with search frictions
2010,Economic Sciences,for their analysis of markets with search frictions
2010,Economic Sciences,for their analysis of markets with search frictions
2010,Literature,"for his cartography of structures of power and his trenchant images of the individual's resistance, revolt, and defeat"
2010,Peace,for his long and non-violent struggle for fundamental human rights in China
2010,Physics,for groundbreaking experiments regarding the two-dimensional material graphene
2010,Physics,for groundbreaking experiments regarding the two-dimensional material graphene
2010,Physiology or Medicine,for the development of in vitro fertilization
2011,Chemistry,for the discovery of quasicrystals
2011,Economic Sciences,for their empirical research on cause and effect in the macroeconomy
2011,Economic Sciences,for their empirical research on cause and effect in the macroeconomy
2011,Literature,"because, through his condensed, translucent images, he gives us fresh access to reality"
2011,Peace,for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work
2011,Peace,for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work
2011,Peace,for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work
2011,Physics,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae
2011,Physics,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae
2011,Physics,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae
2011,Physiology or Medicine,for their discoveries concerning the activation of innate immunity
2011,Physiology or Medicine,for their discoveries concerning the activation of innate immunity
2011,Physiology or Medicine,for his discovery of the dendritic cell and its role in adaptive immunity
2012,Chemistry,for studies of G-protein-coupled receptors
2012,Chemistry,for studies of G-protein-coupled receptors
2012,Economic Sciences,for the theory of stable allocations and the practice of market design
2012,Economic Sciences,for the theory of stable allocations and the practice of market design
2012,Literature,"who with hallucinatory realism merges folk tales, history and the contemporary"
2012,Peace,"for over six decades contributed to the advancement of peace and reconciliation, democracy and human rights in Europe"
2012,Physics,for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems
2012,Physics,for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems
2012,Physiology or Medicine,for the discovery that mature cells can be reprogrammed to become pluripotent
2012,Physiology or Medicine,for the discovery that mature cells can be reprogrammed to become pluripotent
2013,Chemistry,for the development of multiscale models for complex chemical systems
2013,Chemistry,for the development of multiscale models for complex chemical systems
2013,Chemistry,for the development of multiscale models for complex chemical systems
2013,Economic Sciences,for their empirical analysis of asset prices
2013,Economic Sciences,for their empirical analysis of asset prices
2013,Economic Sciences,for their empirical analysis of asset prices
2013,Literature,master of the contemporary short story
2013,Peace,for its extensive efforts to eliminate chemical weapons
2013,Physics,"for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider"
2013,Physics,"for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider"
2013,Physiology or Medicine,"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells"
2013,Physiology or Medicine,"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells"
2013,Physiology or Medicine,"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells"
2014,Chemistry,for the development of super-resolved fluorescence microscopy
2014,Chemistry,for the development of super-resolved fluorescence microscopy
2014,Chemistry,for the development of super-resolved fluorescence microscopy
2014,Economic Sciences,for his analysis of market power and regulation
2014,Literature,"for the art of memory with which he has evoked the most ungraspable human destinies and
uncovered the life-world of the occupation"
2014,Peace,for their struggle against the suppression of children and young people and for the right of all children to education
2014,Peace,for their struggle against the suppression of children and young people and for the right of all children to education
2014,Physics,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources
2014,Physics,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources
2014,Physics,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources
2014,Physiology or Medicine,for their discoveries of cells that constitute a positioning system in the brain
2014,Physiology or Medicine,for their discoveries of cells that constitute a positioning system in the brain
2014,Physiology or Medicine,for their discoveries of cells that constitute a positioning system in the brain
2015,Chemistry,for mechanistic studies of DNA repair
2015,Chemistry,for mechanistic studies of DNA repair
2015,Chemistry,for mechanistic studies of DNA repair
2015,Economic Sciences,"for his analysis of consumption, poverty, and welfare"
2015,Literature,"for her polyphonic writings, a monument to suffering and courage in our time"
2015,Peace,for its decisive contribution to the building of a pluralistic democracy in Tunisia in the wake of the Jasmine Revolution of 2011
2015,Physics,"for the discovery of neutrino oscillations, which shows that neutrinos have mass"
2015,Physics,"for the discovery of neutrino oscillations, which shows that neutrinos have mass"
2015,Physiology or Medicine,for their discoveries concerning a novel therapy against infections caused by roundworm parasites
2015,Physiology or Medicine,for their discoveries concerning a novel therapy against infections caused by roundworm parasites
2015,Physiology or Medicine,for her discoveries concerning a novel therapy against Malaria
2016,Chemistry,for the design and synthesis of molecular machines
2016,Chemistry,for the design and synthesis of molecular machines
2016,Chemistry,for the design and synthesis of molecular machines
2016,Economic Sciences,for their contributions to contract theory
2016,Economic Sciences,for their contributions to contract theory
2016,Literature,for having created new poetic expressions within the great American song tradition
2016,Peace,for his resolute efforts to bring the country's more than 50-year-long civil war to an end
2016,Physics,for theoretical discoveries of topological phase transitions and topological phases of matter
2016,Physics,for theoretical discoveries of topological phase transitions and topological phases of matter
2016,Physics,for theoretical discoveries of topological phase transitions and topological phases of matter
2016,Physiology or Medicine,for his discoveries of mechanisms for autophagy
2017,Chemistry,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution
2017,Chemistry,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution
2017,Chemistry,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution
2017,Economic Sciences,for his contributions to behavioural economics
2017,Literature,"who, in novels of great emotional force, has uncovered the abyss beneath our illusory sense of connection with the world"
2017,Peace,for its work to draw attention to the catastrophic humanitarian consequences of any use of nuclear weapons and for its ground-breaking efforts to achieve a treaty-based prohibition of such weapons
2017,Physics,for decisive contributions to the LIGO detector and the observation of gravitational waves
2017,Physics,for decisive contributions to the LIGO detector and the observation of gravitational waves
2017,Physics,for decisive contributions to the LIGO detector and the observation of gravitational waves
2017,Physiology or Medicine,for their discoveries of molecular mechanisms controlling the circadian rhythm
2017,Physiology or Medicine,for their discoveries of molecular mechanisms controlling the circadian rhythm
2017,Physiology or Medicine,for their discoveries of molecular mechanisms controlling the circadian rhythm
2018,Chemistry,for the directed evolution of enzymes
2018,Chemistry,for the phage display of peptides and antibodies
2018,Chemistry,for the phage display of peptides and antibodies
2018,Economic Sciences,for integrating climate change into long-run macroeconomic analysis
2018,Economic Sciences,for integrating technological innovations into long-run macroeconomic analysis
2018,Literature,for a narrative imagination that with encyclopedic passion represents the crossing of boundaries as a form of life
2018,Peace,for their efforts to end the use of sexual violence as a weapon of war and armed conflict
2018,Peace,for their efforts to end the use of sexual violence as a weapon of war and armed conflict
2018,Physics,for the optical tweezers and their application to biological systems
2018,Physics,"for their method of generating high-intensity, ultra-short optical pulses"
2018,Physics,"for their method of generating high-intensity, ultra-short optical pulses"
2018,Physiology or Medicine,for their discovery of cancer therapy by inhibition of negative immune regulation
2018,Physiology or Medicine,for their discovery of cancer therapy by inhibition of negative immune regulation
2019,Chemistry,for the development of lithium-ion batteries
2019,Chemistry,for the development of lithium-ion batteries
2019,Chemistry,for the development of lithium-ion batteries
2019,Economic Sciences,for their experimental approach to alleviating global poverty
2019,Economic Sciences,for their experimental approach to alleviating global poverty
2019,Economic Sciences,for their experimental approach to alleviating global poverty
2019,Literature,for an influential work that with linguistic ingenuity has explored the periphery and the specificity of human experience
2019,Peace,"for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea"
2019,Physics,for theoretical discoveries in physical cosmology
2019,Physics,for the discovery of an exoplanet orbiting a solar-type star
2019,Physics,for the discovery of an exoplanet orbiting a solar-type star
2019,Physiology or Medicine,for their discoveries of how cells sense and adapt to oxygen availability
2019,Physiology or Medicine,for their discoveries of how cells sense and adapt to oxygen availability
2019,Physiology or Medicine,for their discoveries of how cells sense and adapt to oxygen availability
2020,Chemistry,for the development of a method for genome editing
2020,Chemistry,for the development of a method for genome editing
2020,Economic Sciences,for improvements to auction theory and inventions of new auction formats
2020,Economic Sciences,for improvements to auction theory and inventions of new auction formats
2020,Literature,for her unmistakable poetic voice that with austere beauty makes individual existence universal
2020,Peace,"for its efforts to combat hunger, for its contribution to bettering conditions for peace in conflict-affected areas and for acting as a driving force in efforts to prevent the use of hunger as a weapon of war and conflict"
2020,Physics,for the discovery that black hole formation is a robust prediction of the general theory of relativity
2020,Physics,for the discovery of a supermassive compact object at the centre of our galaxy
2020,Physics,for the discovery of a supermassive compact object at the centre of our galaxy
2020,Physiology or Medicine,for the discovery of Hepatitis C virus
2020,Physiology or Medicine,for the discovery of Hepatitis C virus
2020,Physiology or Medicine,for the discovery of Hepatitis C virus
2021,Chemistry,for the development of asymmetric organocatalysis
2021,Chemistry,for the development of asymmetric organocatalysis
2021,Economic Sciences,for his empirical contributions to labour economics
2021,Economic Sciences,for their methodological contributions to the analysis of causal relationships
2021,Economic Sciences,for their methodological contributions to the analysis of causal relationships
2021,Literature,for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents
2021,Peace,"for their efforts to safeguard freedom of expression, which is a precondition for democracy and lasting peace"
2021,Peace,"for their efforts to safeguard freedom of expression, which is a precondition for democracy and lasting peace"
2021,Physics,"for the physical modelling of Earth’s climate, quantifying variability and reliably predicting global warming"
2021,Physics,"for the physical modelling of Earth’s climate, quantifying variability and reliably predicting global warming"
2021,Physics,for the discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales
2021,Physiology or Medicine,for their discoveries of receptors for temperature and touch
2021,Physiology or Medicine,for their discoveries of receptors for temperature and touch
2022,Chemistry,for the development of click chemistry and bioorthogonal chemistry
2022,Chemistry,for the development of click chemistry and bioorthogonal chemistry
2022,Chemistry,for the development of click chemistry and bioorthogonal chemistry
2022,Economic Sciences,for research on banks and financial crises
2022,Economic Sciences,for research on banks and financial crises
2022,Economic Sciences,for research on banks and financial crises
2022,Literature,"for the courage and clinical acuity with which she uncovers the roots, estrangements and  collective restraints of personal memory"
2022,Peace,"The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy."
2022,Peace,"The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy."
2022,Peace,"The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy."
2022,Physics,"for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science"
2022,Physics,"for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science"
2022,Physics,"for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science"
2022,Physiology or Medicine,for his discoveries concerning the genomes of extinct hominins and human evolution
2023,Chemistry,for the discovery and synthesis of quantum dots
2023,Chemistry,for the discovery and synthesis of quantum dots
2023,Chemistry,for the discovery and synthesis of quantum dots
2023,Economic Sciences,for having advanced our understanding of women’s labour market outcomes
2023,Literature,for his innovative plays and prose which give voice to the unsayable
2023,Peace,for her fight against the oppression of women in Iran and her fight to promote human rights and freedom for all
2023,Physics,for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter
2023,Physics,for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter
2023,Physics,for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter
2023,Physiology or Medicine,for their discoveries concerning nucleoside base modifications that enabled the development of effective mRNA vaccines against COVID-19
2023,Physiology or Medicine,for their discoveries concerning nucleoside base modifications that enabled the development of effective mRNA vaccines against COVID-19
